Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears
18,Yes,Travel_Rarely,230,Research & Development,3,Master,Life Sciences,405,3,Male,54,3,1,Laboratory Technician,3,Single,1420,1,Y,No,13,3,3,0,0
18,No,Non-Travel,1124,Research & Development,1,Master,Life Sciences,1368,4,Female,97,3,1,Laboratory Technician,4,Single,1611,1,Y,No,15,3,3,0,0
18,Yes,Non-Travel,247,Research & Development,8,High School,Medical,1156,3,Male,80,3,1,Laboratory Technician,3,Single,1904,1,Y,No,12,3,4,0,0
18,No,Non-Travel,287,Research & Development,5,Bachelor,Life Sciences,1012,2,Male,73,3,1,Research Scientist,4,Single,1051,1,Y,No,15,3,4,0,0
21,No,Travel_Rarely,391,Research & Development,15,Bachelor,Life Sciences,30,3,Male,96,3,1,Research Scientist,4,Single,1232,1,Y,No,14,3,4,0,0
18,No,Non-Travel,,Research & Development,14,Master,Medical,1839,2,Female,33,3,1,Research Scientist,3,Single,1514,1,Y,No,16,3,3,0,0
27,No,Non-Travel,443,Research & Development,3,Master,Medical,850,4,Male,50,3,1,Research Scientist,4,Married,1706,1,Y,No,11,3,3,3,0
18,No,Travel_Rarely,,Sales,10,Master,Medical,411,4,Female,69,2,1,Sales Representative,3,Single,1200,1,Y,No,12,3,1,0,0
18,Yes,Travel_Frequently,544,Sales,3,Bachelor,Medical,1624,2,Female,70,3,1,Sales Representative,4,Single,1569,1,Y,Yes,12,3,3,0,0
19,Yes,Travel_Rarely,528,Sales,22,High School,Marketing,167,4,Male,50,3,1,Sales Representative,3,Single,1675,1,Y,Yes,19,3,4,0,0
18,Yes,Travel_Frequently,1306,Sales,5,Master,Marketing,614,2,Male,69,3,1,Sales Representative,2,Single,1878,1,Y,Yes,14,3,4,0,0
24,Yes,Travel_Rarely,240,Human Resources,22,High School,Human Resources,1714,4,Male,58,1,1,Human Resources,3,Married,1555,1,Y,No,11,3,3,1,1
19,Yes,Travel_Rarely,489,Human Resources,2,Bachelor,Technical Degree,566,1,Male,52,2,1,Human Resources,4,Single,2564,1,Y,No,12,3,3,0,1
29,No,Travel_Rarely,352,Human Resources,6,High School,Medical,1865,4,Male,87,2,1,Human Resources,2,Married,2804,1,Y,No,11,3,4,0,1
27,Yes,Travel_Frequently,1337,Human Resources,22,Master,Human Resources,1944,1,Female,58,2,1,Human Resources,2,Married,2863,1,Y,No,12,3,1,0,1
19,Yes,Travel_Rarely,303,Research & Development,2,Master,Life Sciences,243,2,Male,47,2,1,Laboratory Technician,4,Single,1102,1,Y,No,22,4,3,0,1
31,No,Travel_Rarely,,Research & Development,2,High School,Medical,1974,4,Female,59,1,1,Laboratory Technician,4,Divorced,1129,1,Y,Yes,11,3,3,3,1
35,No,Non-Travel,727,Research & Development,3,Master,Life Sciences,704,3,Male,41,2,1,Laboratory Technician,3,Married,1281,1,Y,No,18,3,3,2,1
32,Yes,Travel_Rarely,,Research & Development,2,PhD,Life Sciences,1692,4,Male,95,3,1,Laboratory Technician,2,Single,1393,1,Y,No,12,3,1,0,1
21,Yes,Travel_Rarely,1334,Research & Development,10,Master,Life Sciences,1079,3,Female,36,2,1,Laboratory Technician,1,Single,1416,1,Y,No,13,3,1,0,1
19,No,Travel_Rarely,1181,Research & Development,3,High School,Medical,201,2,Female,79,3,1,Laboratory Technician,2,Single,1483,1,Y,No,14,3,4,0,1
23,Yes,Travel_Rarely,,Research & Development,6,Master,Life Sciences,811,3,Male,63,4,1,Laboratory Technician,1,Married,1601,1,Y,Yes,21,4,3,2,1
38,No,Travel_Frequently,1490,Research & Development,2,Bachelor,Life Sciences,556,4,Male,42,3,1,Laboratory Technician,4,Married,1702,1,Y,Yes,23,4,3,1,1
35,No,Travel_Rarely,464,Research & Development,4,Bachelor,Other,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,1,Y,No,12,3,3,1,1
34,No,Travel_Rarely,546,Research & Development,10,Master,Life Sciences,934,2,Male,83,3,1,Laboratory Technician,2,Divorced,2008,1,Y,No,14,3,2,2,1
33,No,Non-Travel,1313,Research & Development,1,Bachelor,Medical,1994,2,Male,59,2,1,Laboratory Technician,3,Divorced,2008,1,Y,No,12,3,3,3,1
35,Yes,Travel_Rarely,104,Research & Development,2,Master,Life Sciences,1569,1,Female,69,3,1,Laboratory Technician,1,Divorced,,1,Y,Yes,12,3,4,1,1
24,No,Travel_Rarely,,Research & Development,17,Bachelor,Other,643,4,Male,94,2,1,Laboratory Technician,2,Married,,1,Y,No,21,4,4,1,1
24,Yes,Travel_Rarely,,Research & Development,17,Bachelor,Life Sciences,1219,4,Female,97,3,1,Laboratory Technician,2,Married,2210,1,Y,No,13,3,1,1,1
35,No,Travel_Rarely,,Research & Development,8,High School,Life Sciences,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,1,Y,No,19,3,4,0,1
26,Yes,Travel_Rarely,1357,Research & Development,25,Master,Life Sciences,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,1,Y,No,12,3,3,0,1
29,Yes,Travel_Rarely,,Research & Development,1,Bachelor,Life Sciences,816,2,Female,36,2,1,Laboratory Technician,1,Married,2319,1,Y,Yes,11,3,4,1,1
26,Yes,Travel_Rarely,471,Research & Development,24,Master,Technical Degree,622,3,Male,66,1,1,Laboratory Technician,4,Single,,1,Y,Yes,18,3,2,0,1
27,No,Travel_Rarely,,Research & Development,2,PhD,Life Sciences,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,,1,Y,No,13,3,4,1,1
26,Yes,Travel_Rarely,1330,Research & Development,21,Master,Medical,1107,1,Male,37,3,1,Laboratory Technician,3,Divorced,2377,1,Y,No,20,4,3,1,1
